,numero_viagem_da_linha_no_dia,ordem_veiculo_na_linha_no_dia,duracao_total_realizada,nome_linha,atendimento,empresa,numero_ordem_veiculo,numero_linha,hora_prevista,hora_realizada,duracao_prevista,duracao_realizada,sentido_viagem
0,1,1,80.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 05:30:00,2020-10-04 05:26:00,45,40.0,ida
1,2,1,80.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 06:15:00,2020-10-04 06:06:00,45,40.0,volta
2,3,1,88.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 07:00:00,2020-10-04 06:58:00,45,43.0,ida
3,4,1,88.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 07:45:00,2020-10-04 07:42:00,45,44.0,volta
4,5,1,87.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 08:30:00,2020-10-04 08:31:00,45,44.0,ida
5,6,1,87.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 09:15:00,2020-10-04 09:15:00,45,43.0,volta
6,7,1,90.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 10:00:00,2020-10-04 10:03:00,45,45.0,ida
7,8,1,90.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 10:45:00,2020-10-04 10:49:00,45,44.0,volta
8,9,1,80.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 12:30:00,2020-10-04 12:24:00,45,42.0,ida
9,10,1,80.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 13:15:00,2020-10-04 13:07:00,45,37.0,volta
10,11,1,88.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 14:00:00,2020-10-04 13:58:00,45,44.0,ida
11,12,1,88.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 14:45:00,2020-10-04 14:43:00,45,43.0,volta
12,13,1,92.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 15:30:00,2020-10-04 15:32:00,45,47.0,ida
13,14,1,92.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 16:15:00,2020-10-04 16:20:00,45,44.0,volta
14,15,1,107.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 17:00:00,2020-10-04 17:10:00,45,49.0,ida
15,16,1,107.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 17:45:00,2020-10-04 18:00:00,45,57.0,volta
16,17,1,96.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 19:30:00,2020-10-04 19:32:00,45,49.0,ida
17,18,1,96.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 20:15:00,2020-10-04 20:22:00,45,46.0,volta
18,19,1,78.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 21:00:00,2020-10-04 21:10:00,45,39.0,ida
19,20,1,78.0,Village Campestre II X Centro / Farol,Village Campestre II X Centro / Farol,Real Transportes Urbanos Ltda.,4636,046,2020-10-04 21:45:00,2020-10-04 21:50:00,50,38.0,volta
20,21,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 04:30:00,2020-10-04 04:24:00,15,9.0,ida
21,22,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 04:45:00,2020-10-04 04:36:00,15,10.0,volta
22,23,1,21.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 05:15:00,2020-10-04 05:12:00,15,9.0,ida
23,24,1,21.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 05:30:00,2020-10-04 05:24:00,15,9.0,volta
24,25,1,18.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 06:00:00,2020-10-04 06:00:00,15,8.0,ida
25,26,1,18.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 06:15:00,2020-10-04 06:10:00,15,8.0,volta
26,27,1,20.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 06:45:00,2020-10-04 06:47:00,15,8.0,ida
27,28,1,20.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 07:00:00,2020-10-04 06:58:00,15,9.0,volta
28,29,1,20.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 07:30:00,2020-10-04 07:28:00,15,9.0,ida
29,30,1,20.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 07:45:00,2020-10-04 07:39:00,15,9.0,volta
30,31,1,20.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 08:15:00,2020-10-04 08:18:00,15,10.0,ida
31,32,1,20.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 08:30:00,2020-10-04 08:30:00,15,8.0,volta
32,33,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 09:00:00,2020-10-04 09:03:00,15,9.0,ida
33,34,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 09:15:00,2020-10-04 09:15:00,15,10.0,volta
34,35,1,23.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 10:00:00,2020-10-04 10:03:00,15,10.0,ida
35,36,1,23.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 10:15:00,2020-10-04 10:16:00,15,10.0,volta
36,37,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 10:45:00,2020-10-04 10:44:00,15,9.0,ida
37,38,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 11:00:00,2020-10-04 10:55:00,15,11.0,volta
38,39,1,20.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 11:30:00,2020-10-04 11:30:00,15,8.0,ida
39,40,1,20.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 11:45:00,2020-10-04 11:42:00,15,8.0,volta
40,41,1,19.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 12:15:00,2020-10-04 12:20:00,15,8.0,ida
41,42,1,19.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 12:30:00,2020-10-04 12:31:00,15,8.0,volta
42,43,1,19.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 13:00:00,2020-10-04 12:59:00,15,8.0,ida
43,44,1,19.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 13:15:00,2020-10-04 13:10:00,15,8.0,volta
44,45,1,16.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 13:45:00,2020-10-04 13:51:00,15,7.0,ida
45,46,1,16.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 14:00:00,2020-10-04 14:01:00,15,6.0,volta
46,47,1,16.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 14:30:00,2020-10-04 14:32:00,15,8.0,ida
47,48,1,16.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 14:45:00,2020-10-04 14:42:00,15,6.0,volta
48,49,1,17.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 15:15:00,2020-10-04 15:16:00,15,7.0,ida
49,50,1,17.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 15:30:00,2020-10-04 15:26:00,15,7.0,volta
50,51,1,17.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 16:00:00,2020-10-04 15:59:00,15,7.0,ida
51,52,1,17.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 16:15:00,2020-10-04 16:09:00,15,7.0,volta
52,53,1,18.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 16:45:00,2020-10-04 16:41:00,15,8.0,ida
53,54,1,18.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 17:00:00,2020-10-04 16:51:00,15,8.0,volta
54,55,1,19.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 17:30:00,2020-10-04 17:32:00,15,8.0,ida
55,56,1,19.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 17:45:00,2020-10-04 17:42:00,15,9.0,volta
56,57,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 18:15:00,2020-10-04 18:18:00,15,10.0,ida
57,58,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 18:30:00,2020-10-04 18:30:00,15,10.0,volta
58,59,1,20.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 19:00:00,2020-10-04 19:05:00,15,9.0,ida
59,60,1,20.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 19:15:00,2020-10-04 19:16:00,15,9.0,volta
60,61,1,17.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 20:00:00,2020-10-04 20:02:00,15,7.0,ida
61,62,1,17.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 20:15:00,2020-10-04 20:11:00,15,8.0,volta
62,63,1,19.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 20:45:00,2020-10-04 20:46:00,15,9.0,ida
63,64,1,19.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 21:00:00,2020-10-04 20:57:00,15,8.0,volta
64,65,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 21:30:00,2020-10-04 21:37:00,15,9.0,ida
65,66,1,22.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 21:45:00,2020-10-04 21:48:00,15,11.0,volta
66,67,1,12.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 22:15:00,2020-10-04 22:14:00,15,5.0,ida
67,68,1,12.0,Grand Jardim / T. Eus. Gomes (Alimentadora),Grand Jardim / T. Eus. Gomes (Somente Cartão),Real Transportes Urbanos Ltda.,4070,4003,2020-10-04 22:30:00,2020-10-04 22:20:00,15,6.0,volta
68,69,1,40.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 04:40:00,2020-10-04 04:36:00,25,20.0,ida
69,70,1,40.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 05:05:00,2020-10-04 04:58:00,25,18.0,volta
70,71,1,45.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 05:40:00,2020-10-04 05:45:00,25,21.0,ida
71,72,1,45.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 06:05:00,2020-10-04 06:08:00,25,22.0,volta
72,73,1,44.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 06:40:00,2020-10-04 06:40:00,25,23.0,ida
73,74,1,44.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 07:05:00,2020-10-04 07:05:00,25,19.0,volta
74,75,1,49.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 07:40:00,2020-10-04 07:42:00,25,25.0,ida
75,76,1,49.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 08:05:00,2020-10-04 08:09:00,25,22.0,volta
76,77,1,50.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 08:40:00,2020-10-04 08:40:00,25,23.0,ida
77,78,1,50.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 09:05:00,2020-10-04 09:06:00,25,24.0,volta
78,79,1,47.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 10:00:00,2020-10-04 10:00:00,25,23.0,ida
79,80,1,47.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 10:25:00,2020-10-04 10:26:00,25,21.0,volta
80,81,1,47.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 11:00:00,2020-10-04 11:02:00,25,24.0,ida
81,82,1,47.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 11:25:00,2020-10-04 11:29:00,25,20.0,volta
82,83,1,51.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 12:00:00,2020-10-04 12:02:00,25,25.0,ida
83,84,1,51.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 12:25:00,2020-10-04 12:30:00,25,23.0,volta
84,85,1,43.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 13:00:00,2020-10-04 13:00:00,25,21.0,ida
85,86,1,43.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 13:25:00,2020-10-04 13:23:00,25,20.0,volta
86,87,1,54.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 14:00:00,2020-10-04 13:59:00,25,26.0,ida
87,88,1,54.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 14:25:00,2020-10-04 14:29:00,25,24.0,volta
88,89,1,47.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 15:00:00,2020-10-04 14:59:00,25,27.0,ida
89,90,1,47.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 15:25:00,2020-10-04 15:28:00,25,18.0,volta
90,91,1,62.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4056,4011,2020-10-04 16:10:00,2020-10-04 16:07:00,25,22.0,ida
91,92,1,62.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4222,4011,2020-10-04 16:35:00,2020-10-04 16:43:00,25,26.0,volta
92,93,1,56.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4222,4011,2020-10-04 17:20:00,2020-10-04 17:19:00,25,28.0,ida
93,94,1,56.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4222,4011,2020-10-04 17:45:00,2020-10-04 17:50:00,25,25.0,volta
94,95,1,53.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4222,4011,2020-10-04 18:30:00,2020-10-04 18:28:00,25,27.0,ida
95,96,1,53.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4222,4011,2020-10-04 18:55:00,2020-10-04 18:59:00,25,22.0,volta
96,97,1,52.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4222,4011,2020-10-04 19:40:00,2020-10-04 19:39:00,20,24.0,ida
97,98,1,52.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4222,4011,2020-10-04 20:00:00,2020-10-04 20:06:00,20,25.0,volta
98,99,1,53.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4222,4011,2020-10-04 21:00:00,2020-10-04 20:58:00,20,28.0,ida
99,100,1,53.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4222,4011,2020-10-04 21:20:00,2020-10-04 21:29:00,20,22.0,volta
100,101,1,49.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4222,4011,2020-10-04 22:10:00,2020-10-04 22:04:00,20,25.0,ida
101,102,1,49.0,Term.Sal.Lyra X T.I B.Bentes (RECANTOS),T. S. Lyra X B. Bentes (Somente com Cartão - Ida),Real Transportes Urbanos Ltda.,4222,4011,2020-10-04 22:30:00,2020-10-04 22:32:00,20,21.0,volta
102,103,1,24.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 05:00:00,2020-10-04 04:55:00,12,9.0,ida
103,104,1,24.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 05:12:00,2020-10-04 05:06:00,13,13.0,volta
104,105,1,19.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 06:00:00,2020-10-04 05:57:00,12,11.0,ida
105,106,1,19.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 06:12:00,2020-10-04 06:10:00,13,6.0,volta
106,107,1,20.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 07:00:00,2020-10-04 06:56:00,12,11.0,ida
107,108,1,20.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 07:12:00,2020-10-04 07:09:00,13,7.0,volta
108,109,1,20.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 08:00:00,2020-10-04 07:57:00,12,13.0,ida
109,110,1,20.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 08:12:00,2020-10-04 08:11:00,13,6.0,volta
110,111,1,21.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 09:00:00,2020-10-04 08:58:00,12,12.0,ida
111,112,1,21.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 09:12:00,2020-10-04 09:12:00,13,7.0,volta
112,113,1,20.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 10:00:00,2020-10-04 09:58:00,12,12.0,ida
113,114,1,20.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 10:12:00,2020-10-04 10:11:00,13,7.0,volta
114,115,1,20.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 11:00:00,2020-10-04 10:59:00,12,11.0,ida
115,116,1,20.0,Conj. Maceió I X Terminal Eust. Gomes,"Conj. Maceió I X T. E. Gomes, G. Jardins (Cartão)",Real Transportes Urbanos Ltda.,4085,4012,2020-10-04 11:12:00,2020-10-04 11:12:00,13,7.0,volta
